atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
5.4,35.0,20,1.0,0.45,10,15,1652.309917037965,41.06375421770315,58.590308370044056,18,282.7368421052632,6,False
5.4,35.0,20,1.0,0.65,10,15,2382.926947257767,38.079529921102534,66.51982378854625,19,233.52631578947367,7,False
5.4,60.0,10,0.8,0.45,10,15,2396.3235835714613,48.055874069484396,59.471365638766514,13,184.3684210526316,7,False
5.4,60.0,10,0.8,0.65,10,15,2102.3742032467244,27.72146751746415,62.55506607929515,18,148.05263157894737,7,False
5.4,60.0,10,1.0,0.45,10,15,1830.8214552198103,31.99948402927234,59.91189427312775,18,220.73684210526315,5,False
5.4,60.0,10,1.0,0.65,10,15,1553.6216637088185,28.505470316429093,57.70925110132159,18,194.42105263157896,7,False
5.4,60.0,20,0.8,0.45,10,15,2565.2652239585123,64.34191511212678,61.23348017621145,18,259.4736842105263,8,False
5.4,60.0,20,0.8,0.65,10,15,2349.0438437912253,45.33699058161723,60.792951541850215,18,191.89473684210526,8,False
5.4,60.0,20,1.0,0.45,10,15,1185.2470495504363,66.22784585329623,57.268722466960355,16,274.05263157894734,7,False
5.4,60.0,20,1.0,0.65,10,15,1692.4093786813808,62.996321130300636,57.268722466960355,18,254.57894736842104,7,False
